team_id,team_abbreviation,season,play_type,possessions,points,poss_pct,percentile,games_played,points_per_possession,fg_pct,efg_pct
1610612761,TOR,2022-23,OffScreen,3.1,3.0,0.029,0.69,82,0.968,0.435,0.519
1610612738,BOS,2022-23,OffScreen,3.4,3.3,0.031,0.552,82,0.971,0.396,0.488
1610612748,MIA,2022-23,OffScreen,3.5,3.5,0.032,0.207,82,1.0,0.414,0.506
1610612754,IND,2022-23,OffScreen,3.6,3.6,0.031,0.345,82,1.0,0.414,0.521
1610612742,DAL,2022-23,OffScreen,3.9,3.7,0.035,0.655,82,0.949,0.421,0.504
1610612764,WAS,2022-23,OffScreen,4.2,3.7,0.038,0.897,82,0.881,0.359,0.447
1610612762,UTA,2022-23,OffScreen,4.3,3.7,0.038,0.931,82,0.86,0.353,0.422
1610612757,POR,2022-23,OffScreen,3.6,3.8,0.032,0.034,82,1.056,0.456,0.571
1610612746,LAC,2022-23,OffScreen,3.9,4.0,0.035,0.241,82,1.026,0.409,0.495
1610612756,PHX,2022-23,OffScreen,4.1,4.0,0.038,0.586,82,0.976,0.399,0.502
1610612743,DEN,2022-23,OffScreen,4.1,4.0,0.037,0.517,82,0.976,0.396,0.498
1610612740,NOP,2022-23,OffScreen,4.7,4.0,0.043,0.966,82,0.851,0.349,0.435
1610612755,PHI,2022-23,OffScreen,4.7,4.2,0.044,0.862,82,0.894,0.364,0.449
1610612751,BKN,2022-23,OffScreen,4.2,4.2,0.038,0.379,82,1.0,0.42,0.516
1610612747,LAL,2022-23,OffScreen,5.0,4.3,0.044,1.0,82,0.86,0.36,0.442
1610612753,ORL,2022-23,OffScreen,4.8,4.3,0.043,0.793,82,0.896,0.367,0.451
1610612752,NYK,2022-23,OffScreen,4.4,4.3,0.04,0.483,82,0.977,0.396,0.495
1610612765,DET,2022-23,OffScreen,4.8,4.3,0.043,0.759,82,0.896,0.386,0.469
1610612741,CHI,2022-23,OffScreen,4.5,4.5,0.041,0.414,82,1.0,0.414,0.508
1610612750,MIN,2022-23,OffScreen,4.8,4.5,0.042,0.724,82,0.938,0.376,0.466
1610612758,SAC,2022-23,OffScreen,4.5,4.7,0.04,0.103,82,1.044,0.441,0.523
1610612749,MIL,2022-23,OffScreen,4.7,4.7,0.042,0.448,82,1.0,0.411,0.504
1610612763,MEM,2022-23,OffScreen,4.6,4.7,0.041,0.276,82,1.022,0.425,0.519
1610612745,HOU,2022-23,OffScreen,4.7,4.8,0.042,0.172,82,1.021,0.409,0.534
1610612737,ATL,2022-23,OffScreen,4.6,4.9,0.041,0.069,82,1.065,0.425,0.537
1610612744,GSW,2022-23,OffScreen,4.6,5.0,0.04,0.0,82,1.087,0.435,0.547
1610612766,CHA,2022-23,OffScreen,5.1,5.2,0.045,0.31,82,1.02,0.424,0.525
1610612760,OKC,2022-23,OffScreen,5.5,5.2,0.047,0.621,82,0.945,0.39,0.499
1610612759,SAS,2022-23,OffScreen,5.1,5.3,0.045,0.138,82,1.039,0.426,0.526
1610612761,TOR,2022-23,OffRebound,5.0,5.3,0.046,0.862,82,1.06,0.527,0.535
1610612741,CHI,2022-23,OffRebound,5.3,5.5,0.048,0.966,82,1.038,0.53,0.533
1610612739,CLE,2022-23,OffRebound,5.3,5.6,0.049,0.931,82,1.057,0.523,0.525
1610612752,NYK,2022-23,OffRebound,5.3,5.8,0.048,0.69,82,1.094,0.558,0.559
1610612738,BOS,2022-23,OffRebound,5.4,5.9,0.048,0.793,82,1.093,0.565,0.57
1610612755,PHI,2022-23,OffRebound,5.2,6.0,0.048,0.448,82,1.154,0.586,0.595
1610612748,MIA,2022-23,OffRebound,5.0,6.0,0.047,0.103,82,1.2,0.669,0.678
1610612753,ORL,2022-23,OffRebound,5.0,6.2,0.045,0.0,82,1.24,0.608,0.617
